Temporada,home_team_api_id,away_team_api_id,B365H,B365A,date,home_team_goal,away_team_goal,odd_team_win,Team_win
2008/2009,9984,8635,2.38,2.75,2008-08-16 00:00:00,0,3,2.75,1
2008/2009,9991,9998,1.44,7.5,2008-08-17 00:00:00,5,0,1.44,1
2008/2009,7947,9985,5,1.65,2008-08-16 00:00:00,1,3,1.65,1
2008/2009,9985,9986,1.3,9.5,2008-10-31 00:00:00,1,2,1.3,0
2008/2009,10000,9991,2.6,2.5,2008-11-02 00:00:00,0,2,2.5,1
2008/2009,9993,8635,4,1.83,2008-11-02 00:00:00,1,3,1.83,1
2008/2009,8635,9994,1.36,8.5,2008-11-08 00:00:00,2,3,1.36,0
2008/2009,9991,7947,1.4,8,2008-11-08 00:00:00,1,1,1.4,0
2008/2009,9993,9985,3.6,2.05,2008-11-09 00:00:00,1,3,2.05,1
2008/2009,8342,8635,2.3,2.9,2008-11-16 00:00:00,1,1,2.9,0
2008/2009,9994,9985,3.25,2.1,2008-11-16 00:00:00,1,1,2.1,0
2008/2009,10001,9991,2.5,2.75,2008-11-14 00:00:00,3,2,2.75,0
2008/2009,8635,10001,1.44,7,2008-11-22 00:00:00,2,0,1.44,1
2008/2009,9985,9996,1.36,9,2008-11-22 00:00:00,3,1,1.36,1
2008/2009,9991,9987,2.1,3.2,2008-11-23 00:00:00,2,3,2.1,0
2008/2009,9991,9999,1.29,9.5,2008-11-29 00:00:00,4,0,1.29,1
2008/2009,7947,8635,5,1.67,2008-11-28 00:00:00,0,2,1.67,1
2008/2009,8203,9985,4.75,1.67,2008-11-30 00:00:00,0,0,1.67,0
2008/2009,8635,4049,1.2,11,2008-12-06 00:00:00,5,1,1.2,1
2008/2009,9985,10000,1.36,7.5,2008-12-06 00:00:00,1,2,1.36,0
2008/2009,9984,9991,2.4,2.88,2008-12-05 00:00:00,3,1,2.88,0
2008/2009,8342,9985,2.62,2.62,2008-12-14 00:00:00,1,4,2.62,1
2008/2009,9991,8571,1.5,6.5,2008-12-13 00:00:00,1,1,1.5,0
2008/2009,9999,8635,8,1.36,2008-12-14 00:00:00,0,3,1.36,1
2008/2009,8635,9987,1.57,6,2008-12-19 00:00:00,2,0,1.57,1
2008/2009,9985,9991,1.5,6.5,2008-12-21 00:00:00,2,1,1.5,1
2008/2009,8635,9984,1.36,9,2009-01-16 00:00:00,1,2,1.36,0
2008/2009,9998,9991,2.8,2.3,2009-01-17 00:00:00,1,2,2.3,1
2008/2009,9985,7947,1.2,13,2009-01-17 00:00:00,3,2,1.2,1
2008/2009,9991,8635,3,2.2,2009-02-18 00:00:00,1,2,3.0,0
2008/2009,10001,9985,3.4,2,2009-01-25 00:00:00,0,1,2.0,1
2008/2009,8635,9991,1.65,5,2008-08-23 00:00:00,2,2,1.65,0
2008/2009,9985,10001,1.33,10,2008-08-23 00:00:00,3,0,1.33,1
2008/2009,8571,8635,4.75,1.66,2009-01-31 00:00:00,1,3,1.66,1
2008/2009,9986,9991,2.6,2.5,2009-02-01 00:00:00,2,5,2.5,1
2008/2009,9985,9999,1.2,11,2009-01-31 00:00:00,3,0,1.2,1
2008/2009,8571,9985,5,1.66,2009-02-06 00:00:00,0,2,1.66,1
2008/2009,8635,9998,1.2,13,2009-02-07 00:00:00,3,2,1.2,1
2008/2009,9991,9996,1.57,5.5,2009-02-07 00:00:00,2,0,1.57,1
2008/2009,9986,8635,4.33,1.72,2009-02-15 00:00:00,0,1,1.72,1
2008/2009,8203,9991,2.7,2.37,2009-02-14 00:00:00,3,3,2.37,0
2008/2009,9985,4049,1.22,10,2009-02-14 00:00:00,4,0,1.22,1
2008/2009,8635,9985,2.25,3,2009-02-22 00:00:00,4,2,2.25,1
2008/2009,9991,9993,1.66,5,2009-02-21 00:00:00,1,3,1.66,0
2008/2009,9996,8635,5.75,1.55,2009-02-28 00:00:00,1,1,1.55,0
2008/2009,9985,9984,1.44,7.5,2009-03-01 00:00:00,4,0,1.44,1
2008/2009,9994,9991,2.62,2.45,2009-03-01 00:00:00,0,1,2.45,1
2008/2009,9998,9985,6.5,1.57,2009-03-06 00:00:00,0,1,1.57,1
2008/2009,8635,10000,1.4,8,2009-03-07 00:00:00,2,0,1.4,1
2008/2009,9991,4049,1.28,9.5,2009-03-07 00:00:00,2,0,1.28,1
2008/2009,8203,8635,4.5,1.75,2009-03-13 00:00:00,2,1,1.75,0
2008/2009,9985,9987,1.57,6,2009-03-15 00:00:00,2,0,1.57,1
2008/2009,8342,9991,1.8,4,2009-03-15 00:00:00,1,4,4.0,1
2008/2009,9986,9985,4.75,1.66,2009-03-22 00:00:00,1,0,1.66,0
2008/2009,9991,10000,1.65,4.75,2009-03-22 00:00:00,1,0,1.65,1
2008/2009,8635,9993,1.4,7,2009-03-21 00:00:00,2,0,1.4,1
2008/2009,9994,8635,5,1.6,2009-04-05 00:00:00,0,0,1.6,0
2008/2009,7947,9991,4.75,1.72,2009-04-04 00:00:00,1,1,1.72,0
2008/2009,9985,9993,1.36,7.5,2009-04-05 00:00:00,3,1,1.36,1
2008/2009,8635,8342,1.67,5,2009-04-12 00:00:00,1,0,1.67,1
2008/2009,9985,9994,1.33,10,2009-04-11 00:00:00,1,0,1.33,1
2008/2009,9991,10001,1.8,4.2,2009-04-12 00:00:00,2,0,1.8,1
2008/2009,8635,8571,1.29,9,2008-08-30 00:00:00,4,0,1.29,1
2008/2009,9991,9986,1.62,5,2008-08-31 00:00:00,2,0,1.62,1
2008/2009,9999,9985,5.5,1.57,2008-08-31 00:00:00,1,1,1.57,0
2008/2009,10001,8635,4.5,1.73,2009-04-19 00:00:00,0,1,1.73,1
2008/2009,9996,9985,6,1.57,2009-04-18 00:00:00,0,3,1.57,1
2008/2009,9987,9991,2.62,2.62,2009-04-17 00:00:00,2,2,2.62,0
2008/2009,9999,9991,3.2,2.1,2009-04-26 00:00:00,1,3,2.1,1
2008/2009,8635,7947,1.14,15,2009-04-25 00:00:00,4,0,1.14,1
2008/2009,9985,8203,1.18,13,2009-04-25 00:00:00,4,1,1.18,1
2008/2009,4049,8635,11,1.2,2009-05-03 00:00:00,1,1,1.2,0
2008/2009,10000,9985,5.5,1.57,2009-05-02 00:00:00,0,0,1.57,0
2008/2009,9991,9984,1.36,7.5,2009-05-02 00:00:00,2,1,1.36,1
2008/2009,9985,8342,1.44,7,2009-05-09 00:00:00,2,0,1.44,1
